2014-02-08,,1,6,0,0
,,,,,
2014-02-09,,1,6,0,0
,,,,,
2014-02-10,,1,6,0,0
,,,,,
2014-02-11,,1,6,0,0
,,,,,
2014-02-12,,1,6,0,0
,,,,,
2014-02-13,,1,6,0,0
,,,,,
2014-02-16,2308,,4,0,0
,,,,,
2014-02-19,,,3,0,0
,,,,,
2014-02-24,2342,,4.5,0,0
,,,,,
2014-04-16,,,4,0,0
,,,,,
2014-04-17,,1,4,0,0
,,,,,
2014-05-12,2206,,9.5,0,0
,,,,,
2014-05-26,2245,,10,6076,6082
,,,,,
2014-06-11,230,,5,0,0
,,,,,
2014-06-14,1910,,5,0,0
,,,,,
2014-06-30,,,7,0,0
,,,,,
2014-07-02,,,4.9,0,0
,,,,,
2014-07-05,,,11,0,0
,,,,,
2014-07-06,,,7,7935,7936
,,,,,
2014-07-08,236,,2,0,0
,,,,,
2014-09-14,,,6,0,0
,,,,,
2014-09-24,38,,11.5,0,0
,,,,,
2014-10-02,,,4,0,0
,,,,,
2014-10-28,1616,,11,10339,10342
,,,,,
2014-10-30,1212,,8,0,0
,,,,,
2014-11-16,1017,,13,10355,10373
,,,,,
2014-11-22,2225,,7,0,0
,,,,,
2014-11-26,1528,,9,10374,10375
,,,,,
2014-12-11,1147,,9,0,0
,,,,,
2014-12-05,,,9,0,0
,,,,,
2014-12-14,2005,,7,0,0
,,,,,
2014-12-17,1955,,10,10377,10383
,,,,,
2014-12-20,1423,,7,10384,10388
,,,,,
2014-12-29,1906,,9,10389,10391
,,,,,
2014-12-26,,,9,0,0
,,,,,
2015-01-07,39,,9,10392,10395
,,,,,
2015-01-10,2210,,6,0,0
,,,,,
2015-01-12,1411,,7,0,0
,,,,,
2015-01-15,17:27,,10,10396,10399
,,,,,
2015-01-18,250,,7,0,0
,,,,,
2015-01-21,0059 22nd plume,,7,0,0
,,,,,
2015-01-26,628,,7.5,10400,10401
,,,,,
2015-01-29,2005,,4,10403,10403
,,,,,
2015-02-01,1408,,10,10404,10412
,,,,,
2015-02-04,,,6,0,0
,,,,,
2015-02-08,0433 plume,,10,10413,10417
,,,,,
2015-02-16,0312 plume,,8,0,0
,,,,,
2015-02-17,1734,,8,10418,10423
,,,,,
2015-02-20,,,7,0,0
,,,,,
2015-02-21,1923 plume,1,3.5,0,0
,,,,,
2015-02-24,0525 plume,,7,0,0
,,,,,
2015-02-24,2201,,4,0,0
,,,,,
2015-02-26,,,7,0,0
,,,,,
2015-02-28,100,,9,0,0
,,,,,
2015-03-01,0229 plume,,4,0,0
,,,,,
2015-03-05,0250 plume,,9,0,0
,,,,,
2015-03-08,0420 plume,,8,0,0
,,,,,
2015-03-09,,,3.7,0,0
,,,,,
2015-03-16,,,9,10426,10426
,,,,,
2015-03-20,1830 plume,4,4.5,10427,10427
,,,,,
2015-03-21,415,,7,0,0
,,,,,
2015-03-21,2340,,7,0,0
,,,,,
2015-03-25,2204 plume,,10,10428,10428
,,,,,
2015-03-29,,,10,0,0
,,,,,
2015-04-03,,,9,0,0
,,,,,
2015-04-06,,,5.5,10429,10431
,,,,,
2015-04-07,,,12,0,0
,,,,,
2015-04-10,7,,3,10432,10434
